,Test Prediction,Test Actual,Prediction Change,Actual Change
0,295.99884,295.0,-0.010173115879297256,0.018542377278208733
1,292.9876,300.47,0.01188027672469616,-0.003228279761970043
2,296.46838,299.5,0.005245259962975979,-0.0292821004986763
3,298.02344,290.73,-0.02029034122824669,-0.009630992077291012
4,291.97644,287.93,-0.018270529806613922,-0.0007293142843991518
5,286.64188,287.72,-0.004605820402503014,-0.02589327096939087
6,285.32166,280.27,-0.017302462831139565,0.05109361559152603
7,280.3849,294.59,0.022547654807567596,0.009233175776898861
8,286.7069,297.31,0.02588237076997757,0.004978006239980459
9,294.12756,298.79,0.007390766404569149,-0.01285182312130928
10,296.3014,294.95,-0.006354794837534428,0.01776568964123726
11,294.41846,300.19,0.006375120487064123,-0.014224288053810596
12,296.2954,295.92,-0.002387679647654295,-0.02047860249876976
13,295.58795,289.86,-0.01897473633289337,-0.037776798009872437
14,289.97925,278.91,-0.03301648795604706,-0.010971272364258766
15,280.40515,275.85,-0.022252826020121574,0.045858234167099
16,274.16534,288.5,0.025014998391270638,-0.010086667723953724
17,281.0236,285.59,0.010718372650444508,-0.019328368827700615
18,284.0357,280.07,-0.016223855316638947,-0.012961062602698803
19,279.42755,276.44,-0.016042320057749748,0.0387425534427166
20,274.9449,287.15,0.01981809176504612,0.025213375687599182
21,280.39377,294.39,0.03142629563808441,0.0028193434700369835
22,289.2055,295.22,0.012255338951945305,0.01764782704412937
23,292.74982,300.43,0.01289818063378334,-0.004227237775921822
24,296.52576,299.16,0.00425973953679204,0.01637917384505272
25,297.78888,304.06,,
